"codigo","nombre","energia_kcal","agua_pct","fraccion_comestible_pct","proteina_g","grasa_total_g","ag_sat_g","ag_mono_g","ag_poli_g","colesterol_mg","carbohidratos_g","azucares_g","ceniza_g","fibra_dietetica_g","calcio_mg","hierro_mg","magnesio_mg","fosforo_mg","potasio_mg","sodio_mg","zinc_mg","cobre_mg","selenio_mcg","vitamina_c_mg","tiamina_mg","riboflavina_mg","niacina_mg","ac_pantotenico_mg","vitamina_b6_mg","ac_folico_mcg","folato_alimentos_mcg","folato_fde_mcg","vitamina_b12_mcg","vitamina_a_rae_mcg","retinol_mcg","b_carotenos_mcg","vitamina_e_mg","vitamina_d_mcg","vitamina_k_mcg"
"11114","HOJAS DE MOSTAZA","27","91","0.93","2.86","0.42","0.01","0.09","0.04","0","4.67","1.32","3.2","1.36","115","1.64","32","58","384","20","0.25","0.17","0.9","70","0.08","0.11","0.8","0.21","0.18","0","12","12","0","151","0","1790","2.01","0","257.5"
"11115","MUTAS/MOTATE","25","92","0.45","0.9","0.3",,,,,"5.7",,"0.6","1.1","116","0.6",,"24",,,,,,"21","0.03","0.04","0.4",,,,,,,,,,,,
"11116","NABO, HOJAS","32","90","0.7","1.5","0.3","0.07","0.02","0.12","0","7.13","0.81","3.2","1.4","190","1.1","31","42","296","40","0.19","0.35","1.2","60","0.07","0.1","0.6","0.38","0.26","0","194","194","0","579","0","6952","2.86","0","251"
"11117","NABO, RAIZ, CRUDA","28","92","0.81","0.9","0.1","0.01","0.01","0.05","0","6.43","3.8","1.8","0.7","30","0.3","11","27","191","67","0.27","0.09","0.7","21","0.04","0.03","0.4","0.2","0.09","0","15","15","0","0","0","0","0.03","0","0.1"
"11118","NAME/YAM CRUDO","118","70","0.86","1.53","0.17","0.04","0.01","0.08","0","27.88","0.5","4.1","0.82","17","0.54","21","55","816","9","0.24","0.18","0.7","17","0.11","0.03","0.55","0.31","0.29","0","23","23","0","7","0","83","0.35","0","2.3"
"11119","NAME/YAM COCIDO S/SAL, ESCURRIDO","116","70","1","1.49","0.14","0.03","0.01","0.06","0","27.48","0.49","3.9","0.76","14","0.52","18","49","670","8","0.2","0.15","0.7","12","0.1","0.03","0.55","0.31","0.23","0","16","16","0","6","0","73","0.34","0","2.3"
"11121","MALANGA/OTOE/YAUTIA, RAIZ, COCIDA S/SAL","142","64","1","0.52","0.11","0.02","0.01","0.05","0","34.6","0.49","5.1","0.97","18","0.72","30","76","484","15","0.27","0.2","0.9","5","0.11","0.03","0.51","0.34","0.33","0","19","19","0","4","0","39","2.93","0","1.2"
"11122","OCRA CRUDA","33","90","0.86","1.93","0.19","0.03","0.02","0.03","0","7.45","1.48","3.2","0.86","82","0.62","57","61","299","7","0.58","0.11","0.7","23","0.2","0.06","1","0.25","0.22","0","60","60","0","36","0","416","0.27","0","31.3"
"11123","OCRA COCIDA S/SAL, ESCURRIDA","22","93","1","1.87","0.21","0.05","0.03","0.05","0","4.51","2.4","2.5","0.84","77","0.28","36","32","135","6","0.43","0.09","0.4","16","0.13","0.06","0.87","0.21","0.19","0","46","46","0","14","0","170","0.27","0","40"
"11124","PACAYA","45","85","0.43","4","0.7",,,,,"8.3",,"1.2","2","369","1.4",,"106",,,,,,"14","0.08","0.1","0.9",,,,,,,"2",,,,,
